imdb_rating,gross,meta_rating,title,genre,run_time
8.9,486.01,68,Avengers: Infinity War,"Action, Adventure, Fantasy",149
7.6,694.25,88,Black Panther,"Action, Adventure, Sci-Fi",134
8.0,163.15,82,A Quiet Place,"Drama, Horror, Sci-Fi",90
7.9,315.06,74,Thor: Ragnarok,"Action, Adventure, Comedy",130
7.8,173.82,48,The Greatest Showman,"Biography, Drama, Musical",105
7.8,133.67,64,Ready Player One,"Action, Adventure, Sci-Fi",140
7.0,44.95,49,Den of Thieves,"Action, Crime, Drama",140
7.4,459.01,66,Avengers: Age of Ultron,"Action, Adventure, Sci-Fi",141
8.1,623.36,69,The Avengers,"Action, Adventure, Sci-Fi",143
8.1,333.18,76,Guardians of the Galaxy,"Action, Adventure, Sci-Fi",121
7.7,389.81,67,Guardians of the Galaxy Vol. 2,"Action, Adventure, Sci-Fi",136
7.5,334.2,73,Spider-Man: Homecoming,"Action, Adventure, Sci-Fi",133
7.0,404.37,58,Jumanji: Welcome to the Jungle,"Action, Adventure, Comedy",119
7.8,408.08,75,Captain America: Civil War,"Action, Adventure, Sci-Fi",147
7.2,29.82,65,Hostiles,"Adventure, Drama, Western",134
6.4,86.36,45,Rampage,"Action, Adventure, Sci-Fi",107
6.6,45.5,54,12 Strong,"Action, Drama, History",130
7.5,232.64,72,Doctor Strange,"Action, Adventure, Fantasy",115
6.7,57.01,69,Blockers,Comedy,102
6.4,58.03,51,Maze Runner: The Death Cure,"Action, Sci-Fi, Thriller",141
6.7,46.77,53,Red Sparrow,"Drama, Mystery, Thriller",140
7.3,620.18,85,Star Wars: The Last Jedi,"Action, Adventure, Fantasy",152
7.2,68.63,66,Game Night,"Comedy, Crime, Mystery",100
6.7,229.02,45,Justice League,"Action, Adventure, Fantasy",120
6.6,114.83,52,Peter Rabbit,"Animation, Adventure, Comedy",95
8.2,28.88,82,Isle of Dogs,"Animation, Adventure, Comedy",101
5.9,59.1,44,Pacific Rim: Uprising,"Action, Adventure, Sci-Fi",111
6.9,176.65,66,Captain America: The First Avenger,"Action, Adventure, Sci-Fi",124
7.0,2.28,84,You Were Never Really Here,"Drama, Mystery, Thriller",89
8.0,363.07,65,Deadpool,"Action, Adventure, Comedy",108
7.4,63.86,87,The Shape of Water,"Adventure, Drama, Fantasy",123
8.5,209.73,81,Coco,"Animation, Adventure, Comedy",105
7.0,32.73,79,Annihilation,"Adventure, Drama, Fantasy",115
7.9,318.41,79,Iron Man,"Action, Adventure, Sci-Fi",126
6.3,36.34,56,The Commuter,"Action, Crime, Drama",105
5.4,25.09,28,Winchester,"Biography, Fantasy, Horror",99
7.8,259.77,70,Captain America: The Winter Soldier,"Action, Adventure, Sci-Fi",136
6.9,75.47,47,The Hitman's Bodyguard,"Action, Comedy, Thriller",118
7.2,81.9,83,The Post,"Biography, Drama, History",116
7.3,180.2,64,Ant-Man,"Action, Adventure, Comedy",117
8.1,40.66,73,"Love, Simon","Comedy, Drama, Romance",110
7.5,412.56,76,Wonder Woman,"Action, Adventure, Fantasy",141
7.0,181.03,57,Thor,"Action, Adventure, Fantasy",115
8.1,92.05,81,Blade Runner 2049,"Drama, Mystery, Sci-Fi",164
8.2,54.51,88,"Three Billboards Outside Ebbing, Missouri","Crime, Drama",115
7.5,28.78,71,Molly's Game,"Biography, Crime, Drama",140
7.5,327.48,69,It,"Drama, Horror, Thriller",135
5.9,104.9,40,Pitch Perfect 3,"Comedy, Music",93
6.8,134.52,61,The Incredible Hulk,"Action, Adventure, Sci-Fi",112
8.0,18.1,93,Call Me by Your Name,"Drama, Romance",132
6.5,103.07,45,The Expendables,"Action, Adventure, Thriller",103
6.2,213.31,62,Austin Powers in Goldmember,"Action, Adventure, Comedy",94
7.8,177.0,76,How to Train Your Dragon 2,"Animation, Action, Adventure",102
6.0,116.93,45,S.W.A.T.,"Action, Adventure, Crime",117
7.1,6.85,82,The Spectacular Now,"Comedy, Drama, Romance",95
4.6,90.56,57,High School Musical 3: Senior Year,"Comedy, Drama, Family",112
5.8,20.49,27,Gamer,"Action, Sci-Fi, Thriller",95
7.9,119.52,72,Walk the Line,"Biography, Drama, Music",136
6.0,320.71,58,Shrek the Third,"Animation, Adventure, Comedy",93
6.4,10.38,49,Live by Night,"Action, Crime, Drama",129
7.3,21.59,58,Snowden,"Biography, Drama, Thriller",134
5.3,102.54,42,Daredevil,"Action, Crime, Sci-Fi",103
