title,actors,release_date,non_USusers,male_elder_rating,us_users,male_adult_rating,male_youngAdult_rating,MPAA_rating,female_ratingCount,director,female_adult_rating,female_teen_rating,female_elder_rating,female_youngAdult_rating,male_teen_rating,male_ratingCount
,,,,,,,,,,,,,,,,
Call Me by Your Name,Armie Hammer,19 January 2018 (USA),7.9,7.3,8,7.6,8.1,R,24880,Luca Guadagnino,8.1,8.9,7.7,8.5,8.6,51864
,,,,,,,,,,,,,,,,
Rent,Taye Diggs,23 November 2005 (USA),6.9,6.4,7.1,6.5,6.9,PG-13,18660,Chris Columbus,7.5,7.7,7.1,7.7,6.3,18692
,,,,,,,,,,,,,,,,
The Book of Life,Diego Luna,17 October 2014 (USA),7.2,7,7.1,7.1,7.4,PG,14332,Jorge R. Gutiérrez,7.3,7.9,7.3,7.6,7.3,30455
,,,,,,,,,,,,,,,,
Wet Hot American Summer,Janeane Garofalo,11 April 2002 (Czech Republic),6.3,5.8,7,6.7,6.9,R,7216,David Wain,6.8,6.6,6,6.7,6.9,31336
,,,,,,,,,,,,,,,,
Sunshine Cleaning,Amy Adams,17 April 2009 (USA),6.8,6.9,6.9,6.8,6.8,R,19110,Christine Jeffs,7,,7.1,6.9,7.3,37329
,,,,,,,,,,,,,,,,
What Lies Beneath,Harrison Ford,21 July 2000 (USA),6.6,6.5,6.6,6.5,6.5,PG-13,19942,Robert Zemeckis,6.8,8.7,6.9,6.8,6.9,64038
,,,,,,,,,,,,,,,,
Kiss Kiss Bang Bang,Robert Downey Jr.,18 November 2005 (USA),7.5,7.3,7.9,7.6,7.7,R,22023,Shane Black,7.6,8,7.4,7.7,7.9,142520
,,,,,,,,,,,,,,,,
Home Again,Reese Witherspoon,8 September 2017 (USA),5.6,5.5,5.7,5.2,5.6,PG-13,5897,Hallie Meyers-Shyer,6,7.4,6.2,6.3,4.9,6149
,,,,,,,,,,,,,,,,
We Bought a Zoo,Matt Damon,23 December 2011 (USA),7,6.9,7.1,7,7.2,PG,29980,Cameron Crowe,7.1,7.4,7.3,7.4,6.8,74097
,,,,,,,,,,,,,,,,
How to Train Your Dragon,Jay Baruchel,26 March 2010 (USA),8.1,7.8,8.1,8,8.2,PG,109550,Dean DeBlois,8.4,8.2,8.2,8.5,7.9,342236
,,,,,,,,,,,,,,,,
Hansel & Gretel: Witch Hunters,Jeremy Renner,25 January 2013 (USA),6,6.1,6.1,6,6.2,R,33361,Tommy Wirkola,6.1,6.9,6.3,6.4,6,113366
,,,,,,,,,,,,,,,,
Pirates of the Caribbean: On Stranger Tides,Johnny Depp,20 May 2011 (USA),6.6,6.4,6.5,6.4,6.7,PG-13,70435,Rob Marshall,6.7,7.7,6.9,7.1,6.6,278616
,,,,,,,,,,,,,,,,
Mulholland Drive,Naomi Watts,19 October 2001 (USA),8,7.7,7.9,8,8.2,R,36148,David Lynch,7.7,8.4,7.4,7.9,8.8,184474
,,,,,,,,,,,,,,,,
Knocked Up,Seth Rogen,1 June 2007 (USA),6.9,6.7,7.4,7.1,7.1,R,59890,Judd Apatow,6.8,7,6.3,6.6,7.2,211375
,,,,,,,,,,,,,,,,
Tulip Fever,Alicia Vikander,1 September 2017 (USA),6.1,6.2,6.1,6.1,6,R,3353,Justin Chadwick,6.2,6.7,6.6,6.4,5.3,4689
,,,,,,,,,,,,,,,,
The Hobbit: The Desolation of Smaug,Ian McKellen,13 December 2013 (USA),7.8,7.6,7.8,7.7,8,PG-13,76883,Peter Jackson,7.9,8.4,7.9,8.2,7.9,353694
,,,,,,,,,,,,,,,,
People I Know,Al Pacino,21 November 2002 (Peru),5.6,5.5,5.4,5.5,5.7,R,908,Daniel Algrant,5.5,,5.7,5.6,6,7474
,,,,,,,,,,,,,,,,
Aqua Teen Hunger Force Colon Movie Film for Theaters,Dana Snyder,13 April 2007 (USA),6.6,6.1,7.1,6.9,7.3,R,757,Matt Maiellaro,6.5,10,7.1,6.8,8.7,9996
,,,,,,,,,,,,,,,,
A Home at the End of the World,Colin Farrell,14 October 2004 (Netherlands),6.7,7,6.9,6.5,6.6,R,5,Michael Mayer,6.9,7,7.2,7,,7238
,,,,,,,,,,,,,,,,
Extraction,Sasha Roiz,9 September 2013 (UK),6.4,6.1,6.8,6.5,7,R,1423,Nir Paniry,6.6,9,6.9,7,6,8019
,,,,,,,,,,,,,,,,
American Dreamz,Hugh Grant,21 April 2006 (USA),5.5,5.6,5.5,5.5,5.3,PG-13,5428,Paul Weitz,5.5,6,5.9,5.1,8.5,14204
,,,,,,,,,,,,,,,,
White Noise 2: The Light,Nathan Fillion,5 January 2007 (UK),5.8,5.7,5.6,5.7,5.8,PG-13,1830,Patrick Lussier,5.6,3,6,5.7,6,8463
,,,,,,,,,,,,,,,,
Bang Bang You're Dead,Tom Cavanagh,21 January 2008 (Hungary),7.9,7.4,8,7.8,8,R,2459,Guy Ferland,8.3,8.5,7.7,8.3,6,7558
,,,,,,,,,,,,,,,,
The Big White,Robin Williams,3 December 2005 (USA),6.4,6.4,6.5,6.5,6.3,R,884,Mark Mylod,6.6,,6.6,6.6,,1370
,,,,,,,,,,,,,,,,
The Promotion,Seann William Scott,13 June 2008 (USA),5.6,5.6,6,5.7,5.8,R,1300,Steve Conrad,5.4,,5.8,5.4,6.2,13804
,,,,,,,,,,,,,,,,
The Dangerous Lives of Altar Boys,Kieran Culkin,28 June 2002 (USA),7,6.8,7.1,7,7.3,R,2670,Peter Care,7.2,,6.8,7.6,8.5,7097
,,,,,,,,,,,,,,,,
The Clearing,Robert Redford,16 July 2004 (USA),5.8,5.9,6,5.8,5.8,R,704,Pieter Jan Brugge,5.7,,6.1,5.8,,719
,,,,,,,,,,,,,,,,
Code Name: The Cleaner,Cedric the Entertainer,5 January 2007 (USA),4.5,4.5,4.2,4.4,4.7,PG-13,989,Les Mayfield,4.2,7,4.6,4.7,4.6,8058
,,,,,,,,,,,,,,,,
The Hoax,Richard Gere,20 April 2007 (USA),6.6,6.7,6.9,6.7,6.8,R,1,Lasse Hallström,6.4,7,6.8,6.3,,11150
,,,,,,,,,,,,,,,,
Conversations with Other Women,Helena Bonham Carter,18 May 2007 (UK),7.1,6.6,7.1,6.9,7.2,R,3941,Hans Canosa,7.3,,7.2,7.4,8.5,5501
,,,,,,,,,,,,,,,,
Stealing Harvard,Jason Lee,13 September 2002 (USA),5.1,4.8,5.1,5.1,5.4,PG-13,960,Bruce McCulloch,4.8,,5,5.5,7,8324
,,,,,,,,,,,,,,,,
No,Gael García Bernal,9 August 2012 (Chile),7.4,7.1,7.3,7.4,7.6,R,3646,Pablo Larraín,7.5,,7.5,7.6,8.3,14079
,,,,,,,,,,,,,,,,
The Breed,Michelle Rodriguez,19 October 2007 (South Africa),5,4.9,5.1,5,5.3,R,1576,Nicholas Mastandrea,5,,5.5,5.4,10,7983
,,,,,,,,,,,,,,,,
Ordinary Decent Criminal,Kevin Spacey,7 January 2000 (Ireland),6.4,6.2,6.2,6.4,6.6,R,1169,Thaddeus O'Sullivan,6.6,,6.5,6.8,7.5,8668
,,,,,,,,,,,,,,,,
Half Light,Demi Moore,17 January 2006 (USA),6,6,6,5.9,6,R,2995,Craig Rosenberg,6.2,8,6.4,6.4,8,7352
,,,,,,,,,,,,,,,,
The Wild Thornberrys Movie,Tim Curry,20 December 2002 (USA),5.3,5.2,5.1,4.8,5.6,PG,3617,Cathy Malkasian,5,9,5.1,6.1,6,6441
,,,,,,,,,,,,,,,,
Shrink,Kevin Spacey,6 August 2009 (Greece),6.7,6.4,6.6,6.7,6.9,R,2913,Jonas Pate,6.7,9,6.6,7,4,12354
,,,,,,,,,,,,,,,,
Factotum,Matt Dillon,29 April 2005 (Norway),6.7,6.5,6.5,6.7,6.8,R,1294,Bent Hamer,6.5,,6.4,6.6,7,9407
,,,,,,,,,,,,,,,,
"Welcome Home, Roscoe Jenkins",Martin Lawrence,8 February 2008 (USA),5.2,4.9,5.3,5.1,5.7,PG-13,1637,Malcolm D. Lee,5.6,8,5.6,5.9,6.4,8427
,,,,,,,,,,,,,,,,
Shade,Joe Nicolo,9 May 2004 (USA),6.4,6.2,6.4,6.4,6.6,R,604,Damian Nieman,6.3,,6.5,6.7,8.5,8699
,,,,,,,,,,,,,,,,
Sleepwalk with Me,Mike Birbiglia,4 April 2013 (Australia),6.6,6.5,7.1,6.7,7.2,PG-13,1768,Mike Birbiglia,6.5,,7.4,6.9,7.5,7875
,,,,,,,,,,,,,,,,
Alex & Emma,Luke Wilson,20 June 2003 (USA),5.6,5.5,5.4,5.5,5.8,PG-13,3,Rob Reiner,5.4,8.3,5.5,5.9,,5583
,,,,,,,,,,,,,,,,
The Ice Harvest,John Cusack,23 November 2005 (USA),6.2,6.3,6.3,6.3,6.4,R,1881,Harold Ramis,6,8,6.4,6.3,7.5,16200
,,,,,,,,,,,,,,,,
Tiny Furniture,Lena Dunham,30 March 2012 (UK),6.2,5.8,6.1,6.1,6.3,Not Rated,4904,Lena Dunham,6.3,3.3,5.8,6.4,7.5,6415
,,,,,,,,,,,,,,,,
The Night Listener,Robin Williams,4 August 2006 (USA),5.8,5.9,6,5.8,5.9,R,2206,Patrick Stettner,6,8,6.2,6.1,5,9224
,,,,,,,,,,,,,,,,
December Boys,Daniel Radcliffe,20 September 2007 (Australia),6.6,6.5,6.7,6.5,6.8,PG-13,3547,Rod Hardy,6.5,5.9,6.9,6.7,9,6106
,,,,,,,,,,,,,,,,
The Assassination of Richard Nixon,Sean Penn,22 October 2004 (Greece),7,7,7.1,7,7.2,R,2086,Niels Mueller,6.9,,7.3,7,7.7,17839
,,,,,,,,,,,,,,,,
Lymelife,Rory Culkin,12 November 2009 (Russia),6.8,6.7,7.4,7,7.3,R,1722,Derick Martini,7,,7.3,7.1,,1712
,,,,,,,,,,,,,,,,
Joshua,Sam Rockwell,13 July 2007 (USA),5.8,5.7,6,5.9,6.1,R,1,George Ratliff,5.8,8,6,6,,6947
,,,,,,,,,,,,,,,,
Bobby Z,Paul Walker,17 November 2007 (Japan),5.8,5.7,5.9,5.8,6.1,R,1305,John Herzfeld,5.9,8.3,5.7,6.5,7,9840
,,,,,,,,,,,,,,,,
Edmond,William H. Macy,24 November 2006 (Italy),6.3,6.2,6.2,6.3,6.5,R,496,Stuart Gordon,6.1,,6.1,5.8,,748
,,,,,,,,,,,,,,,,
The Possession of Michael King,Shane Johnson,22 August 2014 (USA),5.6,5.6,5.8,5.5,5.9,R,2098,David Jung,5.8,5,6.2,5.8,5.8,6560
,,,,,,,,,,,,,,,,
Roger Dodger,Campbell Scott,22 November 2002 (USA),6.9,6.7,7.1,7.1,7,R,1280,Dylan Kidd,6.6,,6.5,6.4,8.5,11532
,,,,,,,,,,,,,,,,
Ra.One,Shah Rukh Khan,26 October 2011 (India),4.7,4.9,4.3,4.4,4.9,Not Rated,2291,Anubhav Sinha,5.4,8.4,6.4,5.5,5.9,26574
,,,,,,,,,,,,,,,,
